tconst	averageRating	numVotes
tt0001044	5.7	107
tt0001045	5.6	14
tt0001046	5.6	15
tt0001049	4.0	16
tt0001050	5.1	79
tt0001052	5.7	17
tt0001053	6.2	16
tt0001054	5.9	31
tt0001058	5.3	23
tt0001060	5.6	15
tt0001061	6.5	43
tt0001062	6.2	1186
tt0001063	5.9	17
tt0001064	5.1	37
tt0001065	5.2	17
tt0001066	5.2	17
tt0001067	6.1	37
tt0001071	6.6	15
tt0001072	5.7	340
tt0001074	6.0	21
tt0001075	5.3	17
tt0001076	5.6	25
tt0001077	5.8	15
tt0001078	5.6	47
tt0001079	4.8	17
tt0001083	5.1	139
tt0001084	5.2	165
tt0001085	5.6	17
tt0001086	6.3	17
tt0001088	5.3	72
tt0001089	8.3	38
tt0001090	7.0	16
tt0001091	5.4	195
tt0001092	5.9	42
tt0001094	4.8	17
tt0001095	3.7	17
tt0001098	6.3	20
tt0001099	5.8	17
tt0001101	5.2	37
tt0001103	5.5	66
tt0001104	5.0	58
tt0001105	6.4	904
tt0001106	6.0	127
tt0001107	6.1	95
tt0001111	4.4	15
tt0001112	3.8	40
tt0001113	5.1	16
tt0001115	4.6	19
tt0001116	4.7	18
tt0001117	5.4	14
tt0001118	5.5	193
tt0001120	5.6	231
tt0001121	4.6	57
tt0001122	5.3	18
tt0001129	5.0	66
tt0001135	4.8	59
tt0001139	5.5	33
tt0001143	4.7	51
tt0001144	4.8	52
tt0001145	5.8	10
tt0001150	5.3	117
tt0001151	4.3	60
tt0001152	5.6	73
tt0001153	4.5	56
tt0001156	4.3	55
tt0001159	5.6	28
tt0001161	4.5	57
tt0001165	4.4	40
tt0001175	5.7	36
tt0001176	4.2	39
tt0001184	3.9	20
tt0001185	7.0	19
tt0001186	5.4	70
tt0001187	4.4	40
tt0001190	6.6	13
tt0001195	4.3	12
tt0001200	4.5	45
tt0001202	4.6	39
tt0001206	6.0	43
tt0001207	5.7	136
tt0001211	5.6	37
tt0001214	6.6	8
tt0001216	4.6	39
tt0001217	5.8	101
tt0001218	5.3	106
tt0001223	6.4	4143
tt0001227	5.8	254
tt0001230	5.0	29
tt0001234	5.4	43
tt0001235	5.3	52
tt0001236	5.0	42
tt0001237	4.6	70
tt0001240	3.9	21
tt0001241	5.1	16
tt0001242	6.0	18
tt0001245	5.6	70
tt0001253	5.6	23
tt0001254	4.4	23
tt0001256	5.8	540
tt0001258	5.8	141
tt0001262	5.2	28
tt0001264	7.1	70
tt0001265	6.3	519
tt0001277	4.4	23
tt0001280	4.8	30
tt0001282	6.8	34
tt0001283	5.8	22
tt0001284	4.8	44
tt0001285	5.6	58
tt0001292	5.0	59
tt0001294	7.2	16
tt0001299	3.9	16
tt0001303	6.0	17
tt0001306	4.8	11
tt0001307	5.5	16
tt0001310	5.4	27
tt0001313	5.0	11
tt0001314	5.8	155
tt0001315	5.8	23
tt0001321	5.3	55
tt0001326	5.6	56
tt0001330	5.7	35
tt0001332	5.4	32
tt0001333	5.7	52
tt0001334	6.4	16
tt0001337	5.8	54
tt0001338	5.3	16
tt0001340	5.1	95
tt0001351	6.1	58
tt0001358	4.1	23
tt0001370	5.3	24
tt0001371	5.9	396
tt0001377	4.8	27
tt0001378	6.0	209
tt0001380	3.6	11
tt0001381	5.4	36
tt0001385	5.4	70
tt0001386	4.4	18
tt0001387	5.8	29
tt0001388	5.6	81
tt0001396	2.9	17
tt0001400	6.4	17
tt0001401	6.1	27
tt0001407	5.9	19
tt0001410	3.9	17
tt0001414	6.4	61
tt0001423	4.2	13
tt0001428	5.1	51
tt0001431	6.3	747
tt0001432	5.6	27
tt0001439	5.9	253
tt0001440	4.7	20
tt0001443	5.8	16
tt0001444	3.3	32
tt0001446	5.3	17
tt0001452	5.5	201
tt0001454	5.5	30
tt0001456	8.5	17
tt0001458	5.8	191
tt0001459	5.4	57
tt0001460	2.9	17
tt0001461	6.0	27
tt0001463	5.7	1512
tt0001469	5.8	134
tt0001475	7.3	20
tt0001481	5.8	33
tt0001482	5.1	77
tt0001488	6.2	466
tt0001490	4.7	23
tt0001496	4.4	61
tt0001497	7.2	10
tt0001498	7.7	12
tt0001499	5.6	351
tt0001500	5.7	7
tt0001508	5.0	51
tt0001510	5.3	68
tt0001517	5.6	44
tt0001518	5.7	16
tt0001519	5.2	38
tt0001527	7.7	2849
tt0001529	4.1	21
tt0001530	6.0	17
tt0001531	4.6	14
tt0001532	4.8	13
tt0001542	4.0	35
tt0001544	6.0	715
tt0001545	6.1	134
tt0001550	5.5	49
tt0001551	5.2	97
tt0001552	4.8	39
tt0001557	4.8	101
tt0001560	4.1	21
tt0001563	5.8	37
tt0001564	4.1	31
tt0001571	4.4	29
tt0001577	4.4	31
tt0001582	4.4	32
tt0001583	5.6	15
tt0001586	3.8	16
tt0001587	3.9	24
tt0001588	5.4	204
tt0001590	5.6	6
tt0001592	5.5	15
tt0001593	6.3	360
tt0001594	6.3	321
tt0001598	5.7	41
tt0001607	5.6	67
tt0001613	5.3	155
tt0001614	6.1	28
tt0001615	4.9	38
tt0001618	6.1	15
tt0001624	5.0	43
tt0001630	6.2	27
tt0001632	6.4	47
tt0001642	5.2	39
tt0001654	5.3	37
tt0001655	4.0	18
tt0001658	5.5	15
tt0001659	6.6	18
tt0001660	5.7	208
tt0001668	4.2	36
tt0001671	4.8	34
tt0001680	5.1	603
tt0001681	4.8	280
tt0001692	5.3	13
tt0001693	7.1	23
tt0001695	4.8	58
tt0001696	4.2	12
tt0001701	4.6	76
tt0001706	5.2	16
tt0001709	5.6	37
tt0001715	3.1	9
tt0001717	3.4	24
tt0001722	4.2	12
tt0001724	5.8	261
tt0001728	7.7	15
tt0001732	7.1	15
tt0001733	5.2	23
tt0001737	7.1	1671
tt0001738	6.9	58
tt0001740	6.5	1187
tt0001741	4.4	23
tt0001742	5.7	15
tt0001747	4.9	23
tt0001753	5.1	19
tt0001761	5.0	6
tt0001762	4.8	68
tt0001769	5.3	72
tt0001771	5.5	150
tt0001772	5.6	22
tt0001776	6.7	194
tt0001777	5.0	18
tt0001779	7.0	16
tt0001787	8.5	13
tt0001789	6.3	269
tt0001790	6.0	44
tt0001799	4.7	13
tt0001803	4.0	11
tt0001812	6.3	13
tt0001815	6.8	25
tt0001817	5.3	89
tt0001832	5.6	52
tt0001840	4.9	39
tt0001845	5.1	11
tt0001848	4.4	40
tt0001852	4.9	12
tt0001856	4.6	48
tt0001857	5.6	211
tt0001862	5.3	44
tt0001865	6.0	75
tt0001868	5.1	9
tt0001871	4.7	53
tt0001872	7.4	57
tt0001874	7.8	12
tt0001877	5.3	69
tt0001886	4.6	10
tt0001889	4.0	14
tt0001892	5.8	233
tt0001896	5.2	71
tt0001910	5.5	69
tt0001911	4.5	22
tt0001913	5.4	226
tt0001915	5.7	116
tt0001923	7.2	35
tt0001924	5.4	12
tt0001925	4.9	42
tt0001926	4.6	14
tt0001927	5.0	12
tt0001928	4.5	52
tt0001941	5.2	82
tt0001949	5.6	27
tt0001956	6.1	16
tt0001957	4.9	52
tt0001963	5.5	147
tt0001964	6.0	82
tt0001967	5.9	11
tt0001969	5.4	14
tt0001973	6.1	274
tt0001978	6.1	30
tt0001987	6.1	24
tt0001989	5.0	15
tt0001993	4.0	21
tt0001998	4.5	34
tt0002020	4.5	131
tt0002026	4.0	13
tt0002029	6.1	58
tt0002031	4.8	20
tt0002033	5.5	40
tt0002034	5.4	48
tt0002041	3.9	60
tt0002045	4.2	84
tt0002046	3.6	7
tt0002054	5.8	207
tt0002056	6.8	162
tt0002064	4.8	79
tt0002065	6.2	64
tt0002066	3.9	97
tt0002068	5.1	53
tt0002070	5.2	41
tt0002071	4.1	17
tt0002078	5.0	65
tt0002082	6.0	394
tt0002083	6.1	264
tt0002093	4.6	39
tt0002095	4.9	38
tt0002096	3.9	16
tt0002097	4.2	37
tt0002098	5.9	145
tt0002101	5.1	530
tt0002107	4.9	23
tt0002113	6.9	985
tt0002114	4.0	17
tt0002121	4.8	47
tt0002122	6.2	308
tt0002124	5.0	366
tt0002126	6.3	75
tt0002130	7.0	2826
tt0002132	5.5	17
tt0002133	5.8	198
tt0002136	5.7	82
tt0002139	5.7	19
tt0002143	5.9	671
tt0002144	5.1	17
tt0002145	8.7	12
tt0002151	5.0	29
tt0002153	5.9	68
tt0002159	4.5	38
tt0002160	6.3	103
tt0002162	4.6	76
tt0002167	4.7	17
tt0002172	4.8	35
tt0002176	5.9	302
tt0002177	5.8	71
tt0002179	3.6	36
tt0002181	6.2	179
tt0002186	6.4	119
tt0002190	6.2	392
tt0002196	4.5	19
tt0002197	5.5	285
tt0002198	6.3	23
tt0002199	5.8	588
tt0002200	6.1	93
tt0002202	4.8	16
tt0002203	4.9	55
tt0002206	5.5	21
tt0002208	6.8	1192
tt0002212	5.2	43
tt0002214	6.0	43
tt0002216	5.3	47
tt0002220	4.0	44
tt0002221	6.8	400
tt0002224	5.1	147
tt0002226	5.8	60
tt0002230	6.5	89
tt0002232	5.4	58
tt0002233	4.6	139
tt0002234	8.6	27
tt0002253	4.5	14
tt0002255	4.6	48
tt0002259	5.0	16
tt0002260	6.3	1208
tt0002261	5.7	32
tt0002266	6.2	14
tt0002268	5.1	14
tt0002273	5.1	33
tt0002277	6.3	38
tt0002278	5.2	33
tt0002280	5.0	43
tt0002281	6.1	306
tt0002282	5.7	48
tt0002287	4.4	15
tt0002290	5.4	58
tt0002293	4.2	16
tt0002295	7.4	13
tt0002300	6.0	19
tt0002302	5.8	56
tt0002303	5.7	189
tt0002305	7.7	27
tt0002309	9.0	21
tt0002318	5.9	37
tt0002320	3.6	16
tt0002329	5.0	33
tt0002330	5.0	13
tt0002332	5.1	31
tt0002340	5.8	51
tt0002342	5.8	87
tt0002349	5.3	18
tt0002350	6.5	307
tt0002354	6.3	155
tt0002355	6.0	59
tt0002357	6.1	221
tt0002369	6.0	58
tt0002370	5.9	15
tt0002371	6.5	20
tt0002374	6.2	18
tt0002375	5.8	11
tt0002380	5.2	17
tt0002381	6.6	2240
tt0002382	6.1	43
tt0002383	6.2	11
tt0002386	5.9	150
tt0002387	4.8	43
tt0002391	6.3	856
tt0002392	5.5	14
tt0002394	7.8	11
tt0002398	5.4	46
tt0002399	4.2	23
tt0002400	5.7	247
tt0002402	7.7	8
tt0002405	5.3	37
tt0002406	5.4	23
tt0002408	6.2	310
tt0002409	6.1	19
tt0002415	5.9	592
tt0002421	6.1	113
tt0002423	6.6	887
tt0002429	6.2	173
tt0002434	9.2	13
tt0002437	9.0	12
tt0002440	3.9	27
tt0002441	5.5	33
tt0002443	4.2	18
tt0002445	6.2	361
tt0002449	6.3	58
tt0002451	8.5	22
tt0002452	6.4	241
tt0002461	5.7	277
tt0002465	5.3	51
tt0002473	6.5	81
tt0002475	7.0	104
tt0002477	5.8	13
tt0002478	5.6	62
tt0002484	5.5	54
tt0002497	6.2	112
tt0002500	5.9	13
tt0002501	4.4	40
tt0002504	5.1	55
tt0002505	5.0	20
tt0002506	5.6	33
tt0002512	6.3	376
tt0002514	4.2	18
tt0002515	4.9	17
tt0002521	5.1	36
tt0002523	5.7	97
tt0002528	5.1	58
tt0002529	4.5	16
tt0002531	6.2	14
tt0002532	5.9	85
tt0002533	5.2	74
tt0002535	4.7	46
tt0002536	5.4	50
tt0002538	5.3	16
tt0002542	5.9	23
tt0002544	5.8	209
tt0002545	7.4	15
tt0002546	7.1	26
tt0002547	5.8	15
tt0002550	5.2	46
tt0002553	6.5	871
tt0002555	4.7	41
tt0002556	6.0	22
tt0002562	4.7	22
tt0002569	5.3	235
tt0002574	6.2	23
tt0002576	4.8	47
tt0002582	9.0	17
tt0002586	5.3	26
tt0002588	6.0	37
tt0002592	6.8	24
